source,target,type
category:agent-builder,need:build-agent-systems,serves
need:build-agent-systems,layer:development,belongs-to
category:agent-framework,need:build-agent-systems,serves
category:agent-runtime,need:execute-autonomously,serves
need:execute-autonomously,layer:execution,belongs-to
category:agent-training,need:learn-and-optimize,serves
need:learn-and-optimize,layer:trust,belongs-to
category:browser-computer-use,need:act-in-software,serves
need:act-in-software,layer:interaction,belongs-to
category:coding-agent,need:ship-software,serves
need:ship-software,layer:execution,belongs-to
category:coding-control-plane,need:govern-work,serves
need:govern-work,layer:governance,belongs-to
category:control-plane,need:govern-work,serves
category:creative-media,need:produce-media,serves
need:produce-media,layer:domain-systems,belongs-to
category:data-integration,need:connect-business-data,serves
need:connect-business-data,layer:domain-systems,belongs-to
category:document-ingestion,need:ground-in-evidence,serves
need:ground-in-evidence,layer:state,belongs-to
category:domain-platform,need:operate-business-domains,serves
need:operate-business-domains,layer:domain-systems,belongs-to
category:durable-execution,need:run-reliably,serves
need:run-reliably,layer:coordination,belongs-to
category:eval-security,need:measure-and-defend,serves
need:measure-and-defend,layer:trust,belongs-to
category:identity-secrets,need:secure-identity-and-secrets,serves
need:secure-identity-and-secrets,layer:trust,belongs-to
category:interaction-ui,need:interact-with-agents,serves
need:interact-with-agents,layer:interaction,belongs-to
category:knowledge-graph,need:understand-connected-knowledge,serves
need:understand-connected-knowledge,layer:state,belongs-to
category:memory,need:remember-and-learn,serves
need:remember-and-learn,layer:state,belongs-to
category:model-gateway,need:access-models,serves
need:access-models,layer:model-infrastructure,belongs-to
category:model-runtime,need:access-models,serves
category:observability,need:observe-and-improve,serves
need:observe-and-improve,layer:trust,belongs-to
category:protocol,need:interoperate,serves
need:interoperate,layer:interoperability,belongs-to
category:rag-platform,need:ground-in-evidence,serves
category:rust-runtime,need:efficient-sovereign-runtime,serves
need:efficient-sovereign-runtime,layer:execution,belongs-to
category:sandbox-security,need:contain-execution,serves
need:contain-execution,layer:trust,belongs-to
category:structured-output,need:build-agent-systems,serves
category:tools-integration,need:interoperate,serves
category:vector-database,need:ground-in-evidence,serves
category:voice-realtime,need:communicate-naturally,serves
need:communicate-naturally,layer:interaction,belongs-to
category:workflow-automation,need:automate-business,serves
need:automate-business,layer:coordination,belongs-to
project:NousResearch/hermes-agent,category:agent-runtime,classified-as
project:NousResearch/hermes-agent,priority:adopt-core,recommended-as
project:paperclipai/paperclip,category:control-plane,classified-as
project:paperclipai/paperclip,priority:pilot,recommended-as
project:openclaw/openclaw,category:agent-runtime,classified-as
project:openclaw/openclaw,priority:benchmark,recommended-as
project:lobehub/lobehub,category:control-plane,classified-as
project:lobehub/lobehub,priority:evaluate,recommended-as
project:ruvnet/ruflo,category:control-plane,classified-as
project:ruvnet/ruflo,priority:evaluate,recommended-as
project:multica-ai/multica,category:control-plane,classified-as
project:multica-ai/multica,priority:evaluate,recommended-as
project:simstudioai/sim,category:control-plane,classified-as
project:simstudioai/sim,priority:evaluate,recommended-as
project:bytedance/deer-flow,category:agent-runtime,classified-as
project:bytedance/deer-flow,priority:evaluate,recommended-as
project:HKUDS/nanobot,category:agent-runtime,classified-as
project:HKUDS/nanobot,priority:watch,recommended-as
project:zeroclaw-labs/zeroclaw,category:rust-runtime,classified-as
project:zeroclaw-labs/zeroclaw,priority:evaluate,recommended-as
project:RightNow-AI/openfang,category:rust-runtime,classified-as
project:RightNow-AI/openfang,priority:evaluate,recommended-as
project:elizaOS/eliza,category:agent-runtime,classified-as
project:elizaOS/eliza,priority:watch,recommended-as
