id,type,label,description,url,stars,language,license,priority
layer:coordination,layer,coordination,,,,,,
layer:development,layer,development,,,,,,
layer:domain-systems,layer,domain-systems,,,,,,
layer:execution,layer,execution,,,,,,
layer:governance,layer,governance,,,,,,
layer:interaction,layer,interaction,,,,,,
layer:interoperability,layer,interoperability,,,,,,
layer:model-infrastructure,layer,model-infrastructure,,,,,,
layer:state,layer,state,,,,,,
layer:trust,layer,trust,,,,,,
need:govern-work,need,govern-work,"Goals, org charts, assignments, approvals, budgets and human oversight",,,,,
need:interact-with-agents,need,interact-with-agents,"Human command, collaboration and review surfaces for agents",,,,,
need:execute-autonomously,need,execute-autonomously,"Persistent agents that can reason, use tools and complete work",,,,,
need:ship-software,need,ship-software,"Parallel coding, review, testing and repository delivery",,,,,
need:build-agent-systems,need,build-agent-systems,Frameworks and builders for new agent products,,,,,
need:learn-and-optimize,need,learn-and-optimize,"Training, reinforcement learning and measured agent improvement",,,,,
need:efficient-sovereign-runtime,need,efficient-sovereign-runtime,Fast local and Rust-native execution primitives,,,,,
need:run-reliably,need,run-reliably,"Durable, resumable and event-driven long-running jobs",,,,,
need:automate-business,need,automate-business,Cross-application business workflows and integrations,,,,,
need:interoperate,need,interoperate,"Portable protocols, skills, tools and agent interfaces",,,,,
need:remember-and-learn,need,remember-and-learn,"Long-term memory, consolidation and reusable experience",,,,,
need:understand-connected-knowledge,need,understand-connected-knowledge,Temporal and semantic knowledge graphs,,,,,
need:ground-in-evidence,need,ground-in-evidence,"Ingestion, retrieval, indexing and evidence-backed context",,,,,
need:measure-and-defend,need,measure-and-defend,"Evaluation, red teaming and security checks",,,,,
need:observe-and-improve,need,observe-and-improve,"Traces, cost, quality and production feedback loops",,,,,
need:contain-execution,need,contain-execution,"Sandboxes, least privilege and blast-radius control",,,,,
need:secure-identity-and-secrets,need,secure-identity-and-secrets,"Identity, authorization and controlled secret custody",,,,,
need:act-in-software,need,act-in-software,"Browser, desktop and computer-use automation",,,,,
need:access-models,need,access-models,"Local inference, serving, routing and provider abstraction",,,,,
need:communicate-naturally,need,communicate-naturally,Realtime voice and multimodal interaction,,,,,
need:produce-media,need,produce-media,"Repeatable image, video and creative production",,,,,
need:connect-business-data,need,connect-business-data,Connectors and controlled data movement,,,,,
need:operate-business-domains,need,operate-business-domains,"Finance, social, internal tools and vertical systems",,,,,
category:agent-builder,category,agent-builder,,,,,,
category:agent-framework,category,agent-framework,,,,,,
category:agent-runtime,category,agent-runtime,,,,,,
category:agent-training,category,agent-training,,,,,,
category:browser-computer-use,category,browser-computer-use,,,,,,
category:coding-agent,category,coding-agent,,,,,,
category:coding-control-plane,category,coding-control-plane,,,,,,
category:control-plane,category,control-plane,,,,,,
category:creative-media,category,creative-media,,,,,,
category:data-integration,category,data-integration,,,,,,
category:document-ingestion,category,document-ingestion,,,,,,
category:domain-platform,category,domain-platform,,,,,,
category:durable-execution,category,durable-execution,,,,,,
category:eval-security,category,eval-security,,,,,,
category:identity-secrets,category,identity-secrets,,,,,,
category:interaction-ui,category,interaction-ui,,,,,,
category:knowledge-graph,category,knowledge-graph,,,,,,
category:memory,category,memory,,,,,,
category:model-gateway,category,model-gateway,,,,,,
category:model-runtime,category,model-runtime,,,,,,
category:observability,category,observability,,,,,,
category:protocol,category,protocol,,,,,,
category:rag-platform,category,rag-platform,,,,,,
category:rust-runtime,category,rust-runtime,,,,,,
category:sandbox-security,category,sandbox-security,,,,,,
category:structured-output,category,structured-output,,,,,,
category:tools-integration,category,tools-integration,,,,,,
category:vector-database,category,vector-database,,,,,,
category:voice-realtime,category,voice-realtime,,,,,,
category:workflow-automation,category,workflow-automation,,,,,,
project:NousResearch/hermes-agent,project,NousResearch/hermes-agent,,https://github.com/NousResearch/hermes-agent,216395,Python,MIT,adopt-core
project:paperclipai/paperclip,project,paperclipai/paperclip,,https://github.com/paperclipai/paperclip,74039,TypeScript,MIT,pilot
project:openclaw/openclaw,project,openclaw/openclaw,,https://github.com/openclaw/openclaw,383276,TypeScript,NOASSERTION,benchmark
project:lobehub/lobehub,project,lobehub/lobehub,,https://github.com/lobehub/lobehub,80426,TypeScript,NOASSERTION,evaluate
project:ruvnet/ruflo,project,ruvnet/ruflo,,https://github.com/ruvnet/ruflo,64839,TypeScript,MIT,evaluate
project:multica-ai/multica,project,multica-ai/multica,,https://github.com/multica-ai/multica,40914,Go,NOASSERTION,evaluate
project:simstudioai/sim,project,simstudioai/sim,,https://github.com/simstudioai/sim,29124,TypeScript,Apache-2.0,evaluate
project:bytedance/deer-flow,project,bytedance/deer-flow,,https://github.com/bytedance/deer-flow,77287,Python,MIT,evaluate
project:HKUDS/nanobot,project,HKUDS/nanobot,,https://github.com/HKUDS/nanobot,45816,Python,MIT,watch
project:zeroclaw-labs/zeroclaw,project,zeroclaw-labs/zeroclaw,,https://github.com/zeroclaw-labs/zeroclaw,32284,Rust,Apache-2.0,evaluate
project:RightNow-AI/openfang,project,RightNow-AI/openfang,,https://github.com/RightNow-AI/openfang,18025,Rust,Apache-2.0,evaluate
project:elizaOS/eliza,project,elizaOS/eliza,,https://github.com/elizaOS/eliza,18756,TypeScript,MIT,watch
project:agent0ai/agent-zero,project,agent0ai/agent-zero,,https://github.com/agent0ai/agent-zero,18444,Python,NOASSERTION,watch
project:HKUDS/OpenHarness,project,HKUDS/OpenHarness,,https://github.com/HKUDS/OpenHarness,14882,Python,MIT,watch
project:Significant-Gravitas/AutoGPT,project,Significant-Gravitas/AutoGPT,,https://github.com/Significant-Gravitas/AutoGPT,185586,Python,NOASSERTION,benchmark
project:open-webui/open-webui,project,open-webui/open-webui,,https://github.com/open-webui/open-webui,145770,Python,NOASSERTION,benchmark
project:danny-avila/LibreChat,project,danny-avila/LibreChat,,https://github.com/danny-avila/LibreChat,40863,TypeScript,MIT,evaluate
project:openai/codex,project,openai/codex,,https://github.com/openai/codex,99131,Rust,Apache-2.0,adopt-core
project:anomalyco/opencode,project,anomalyco/opencode,,https://github.com/anomalyco/opencode,186893,TypeScript,MIT,adopt-core
project:google-gemini/gemini-cli,project,google-gemini/gemini-cli,,https://github.com/google-gemini/gemini-cli,106035,TypeScript,Apache-2.0,adopt-core
project:cline/cline,project,cline/cline,,https://github.com/cline/cline,64743,TypeScript,Apache-2.0,evaluate
project:continuedev/continue,project,continuedev/continue,,https://github.com/continuedev/continue,34937,TypeScript,Apache-2.0,evaluate
project:aaif-goose/goose,project,aaif-goose/goose,,https://github.com/aaif-goose/goose,51234,Rust,Apache-2.0,evaluate
project:openinterpreter/openinterpreter,project,openinterpreter/openinterpreter,,https://github.com/openinterpreter/openinterpreter,66279,Rust,Apache-2.0,benchmark
project:Kilo-Org/kilocode,project,Kilo-Org/kilocode,,https://github.com/Kilo-Org/kilocode,26332,TypeScript,MIT,watch
project:QwenLM/qwen-code,project,QwenLM/qwen-code,,https://github.com/QwenLM/qwen-code,26084,TypeScript,Apache-2.0,evaluate
project:charmbracelet/crush,project,charmbracelet/crush,,https://github.com/charmbracelet/crush,26592,Go,NOASSERTION,watch
project:plandex-ai/plandex,project,plandex-ai/plandex,,https://github.com/plandex-ai/plandex,15532,Go,MIT,watch
project:bytedance/trae-agent,project,bytedance/trae-agent,,https://github.com/bytedance/trae-agent,11856,Python,MIT,watch
project:BloopAI/vibe-kanban,project,BloopAI/vibe-kanban,,https://github.com/BloopAI/vibe-kanban,27420,Rust,Apache-2.0,pilot
project:superset-sh/superset,project,superset-sh/superset,,https://github.com/superset-sh/superset,12475,TypeScript,NOASSERTION,evaluate
project:gastownhall/gastown,project,gastownhall/gastown,,https://github.com/gastownhall/gastown,17077,Go,MIT,evaluate
project:openai/symphony,project,openai/symphony,,https://github.com/openai/symphony,26010,Elixir,Apache-2.0,evaluate
