repo,url,description,category,priority,why,stars,forks,openIssues,language,license,licenseReviewRequired,createdAt,updatedAt,pushedAt,defaultBranch,archived,fork,starThreshold,meetsStarThreshold,strategicException
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,agent-runtime,adopt-core,"Personal execution runtime, memory, skills, tools, gateways, cron and delegation.",216395,40524,23391,Python,MIT,False,2025-07-22T22:22:28Z,2026-07-17T19:32:54Z,2026-07-17T19:28:42Z,main,False,False,10000,True,False
paperclipai/paperclip,https://github.com/paperclipai/paperclip,The open-source app everyone uses to manage agents at work,control-plane,pilot,"Company-level orchestration, goals, budgets, approvals, issue checkout and native Hermes adapters.",74039,13772,4909,TypeScript,MIT,False,2026-03-02T15:01:51Z,2026-07-17T19:18:07Z,2026-07-17T19:33:45Z,master,False,False,10000,True,False
openclaw/openclaw,https://github.com/openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞,agent-runtime,benchmark,Largest personal-agent/runtime ecosystem and gateway reference.,383276,80517,6900,TypeScript,NOASSERTION,True,2025-11-24T10:16:47Z,2026-07-17T19:32:51Z,2026-07-17T19:32:36Z,main,False,False,10000,True,False
lobehub/lobehub,https://github.com/lobehub/lobehub,"🤯 LobeHub is your Chief Agent Operator, organizing your agents into 7×24 operations by hiring, scheduling, and reporting on your entire AI team.",control-plane,evaluate,Chief-agent-operator UX and always-on agent team surface.,80426,15629,609,TypeScript,NOASSERTION,True,2023-05-21T07:19:12Z,2026-07-17T19:19:07Z,2026-07-17T19:31:01Z,canary,False,False,10000,True,False
ruvnet/ruflo,https://github.com/ruvnet/ruflo,"🌊 The leading agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning intelligence, RAG integration, and native Claude Code / Codex / Hermes and many more Integrated",control-plane,evaluate,"Meta-harness for swarms, adaptive memory and multi-agent coordination.",64839,7697,795,TypeScript,MIT,False,2025-06-02T21:24:20Z,2026-07-17T19:24:59Z,2026-07-17T19:22:15Z,main,False,False,10000,True,False
multica-ai/multica,https://github.com/multica-ai/multica,"The open-source managed agents platform. Turn coding agents into real teammates — assign tasks, track progress, compound skills.",control-plane,evaluate,Managed coding-agent teammates with task and skill compounding surfaces.,40914,5161,1136,Go,NOASSERTION,True,2026-01-13T17:59:46Z,2026-07-17T18:55:58Z,2026-07-17T11:21:27Z,main,False,False,10000,True,False
simstudioai/sim,https://github.com/simstudioai/sim,"Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce.",control-plane,evaluate,Visual deployment and orchestration layer for agent workforces.,29124,3713,241,TypeScript,Apache-2.0,False,2025-01-05T22:47:49Z,2026-07-17T17:50:01Z,2026-07-17T19:30:25Z,main,False,False,10000,True,False
bytedance/deer-flow,https://github.com/bytedance/deer-flow,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.",agent-runtime,evaluate,"Long-horizon super-agent with sandbox, memory, tools, skills and gateway.",77287,10512,980,Python,MIT,False,2025-05-07T02:50:19Z,2026-07-17T19:25:02Z,2026-07-17T15:22:17Z,main,False,False,10000,True,False
HKUDS/nanobot,https://github.com/HKUDS/nanobot,"Lightweight, open-source AI agent for your tools, chats, and workflows.",agent-runtime,watch,Lightweight multi-channel agent runtime.,45816,8092,875,Python,MIT,False,2026-02-01T07:16:15Z,2026-07-17T19:30:30Z,2026-07-17T17:22:00Z,main,False,False,10000,True,False
zeroclaw-labs/zeroclaw,https://github.com/zeroclaw-labs/zeroclaw,"Fast, small, and fully autonomous AI personal assistant infrastructure, any OS, any platform — deploy anywhere, swap anything 🦀",rust-runtime,evaluate,Rust personal-assistant infrastructure; useful efficiency benchmark.,32284,4806,536,Rust,Apache-2.0,False,2026-02-13T08:56:04Z,2026-07-17T19:05:48Z,2026-07-17T19:17:11Z,master,False,False,10000,True,False
RightNow-AI/openfang,https://github.com/RightNow-AI/openfang,Open-source Agent Operating System,rust-runtime,evaluate,"Rust agent operating system; architecture benchmark, not a Paperclip equivalent.",18025,2280,110,Rust,Apache-2.0,False,2026-02-24T23:12:38Z,2026-07-17T19:25:15Z,2026-07-02T08:13:12Z,main,False,False,10000,True,False
elizaOS/eliza,https://github.com/elizaOS/eliza,Open source agentic operating system,agent-runtime,watch,Plugin-oriented agent OS and community ecosystem.,18756,5579,245,TypeScript,MIT,False,2024-07-09T07:55:40Z,2026-07-17T19:31:50Z,2026-07-17T19:30:56Z,develop,False,False,10000,True,False
agent0ai/agent-zero,https://github.com/agent0ai/agent-zero,Agent Zero AI framework,agent-runtime,watch,General-purpose autonomous agent framework.,18444,3679,224,Python,NOASSERTION,True,2024-06-10T09:10:45Z,2026-07-17T16:11:33Z,2026-07-17T16:09:57Z,main,False,False,10000,True,False
HKUDS/OpenHarness,https://github.com/HKUDS/OpenHarness,"""OpenHarness: Open Agent Harness with a Built-in Personal Agent--Ohmo!""",agent-runtime,watch,Open agent harness with personal-agent layer.,14882,2424,69,Python,MIT,False,2026-04-01T15:37:13Z,2026-07-17T18:18:14Z,2026-06-04T02:42:40Z,main,False,False,10000,True,False
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",agent-runtime,benchmark,Historically influential autonomous-agent platform and current architecture benchmark.,185586,46077,497,Python,NOASSERTION,True,2023-03-16T09:21:07Z,2026-07-17T19:23:44Z,2026-07-17T19:08:24Z,master,False,False,10000,True,False
open-webui/open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",interaction-ui,benchmark,Widely adopted self-hosted human interface for models and agent tools.,145770,21125,464,Python,NOASSERTION,True,2023-10-06T22:08:27Z,2026-07-17T19:03:52Z,2026-07-17T10:50:17Z,main,False,False,10000,True,False
danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active",interaction-ui,evaluate,"Multi-user self-hosted chat, agents, MCP, tools and authentication surface.",40863,8387,587,TypeScript,MIT,False,2023-02-12T01:06:52Z,2026-07-17T19:27:59Z,2026-07-17T14:39:19Z,main,False,False,10000,True,False
openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,coding-agent,adopt-core,Rust coding agent and primary implementation worker.,99131,14826,9958,Rust,Apache-2.0,False,2025-04-13T05:37:54Z,2026-07-17T19:32:11Z,2026-07-17T19:33:54Z,main,False,False,10000,True,False
anomalyco/opencode,https://github.com/anomalyco/opencode,The open source coding agent.,coding-agent,adopt-core,Provider-neutral open coding agent and ACP/MCP benchmark.,186893,23459,4789,TypeScript,MIT,False,2025-04-30T20:08:00Z,2026-07-17T19:27:04Z,2026-07-17T19:33:28Z,dev,False,False,10000,True,False
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,coding-agent,adopt-core,Gemini terminal agent and large-context worker.,106035,14273,1393,TypeScript,Apache-2.0,False,2025-04-17T17:04:31Z,2026-07-17T19:15:47Z,2026-07-17T18:20:39Z,main,False,False,10000,True,False
cline/cline,https://github.com/cline/cline,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.",coding-agent,evaluate,"IDE, CLI and SDK coding-agent surface.",64743,6928,1262,TypeScript,Apache-2.0,False,2024-07-06T07:28:10Z,2026-07-17T18:47:52Z,2026-07-17T19:30:16Z,main,False,False,10000,True,False
continuedev/continue,https://github.com/continuedev/continue,open-source coding agent,coding-agent,evaluate,Open coding agent with IDE integration.,34937,5065,942,TypeScript,Apache-2.0,False,2023-05-24T03:39:39Z,2026-07-17T19:29:51Z,2026-07-17T09:01:54Z,main,False,False,10000,True,False
aaif-goose/goose,https://github.com/aaif-goose/goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",rust-runtime,evaluate,Rust extensible execution agent and MCP host.,51234,5608,320,Rust,Apache-2.0,False,2024-08-23T19:03:36Z,2026-07-17T19:23:01Z,2026-07-17T18:58:50Z,main,False,False,10000,True,False
